event,x_mm,y_mm,z_mm,edep_MeV,photons_prod,photons_shifted,photons_detected
273,52.4003,-1.08554,100,0,0,0,0
311,12.1113,34.6714,100,0,0,0,0
239,-19.4606,-31.513,100,3.67283,36730,0,97
218,58.5586,-42.0429,100,2.24592,22459,0,57
331,73.5664,-2.69031,100,2.48775,24877,0,73
274,-44.6167,-47.9496,100,2.3823,23823,0,62
260,72.173,36.9251,100,4.07223,40722,0,98
294,-13.3314,-30.1331,100,3.04768,30477,0,84
312,-7.83375,-10.4132,100,2.49581,24958,0,86
332,27.3191,63.9643,100,2.77325,27733,0,59
352,-10.8709,-18.4983,100,2.95157,29517,0,68
261,73.2265,-23.3189,100,2.12481,21248,0,71
333,37.1013,70.3744,100,2.62433,26243,0,353,219,-53.5778,-59.7271,-48.0879,43.6165100,,1000,,0,02.29517,022952
,0,62
275,12.8637,13.1193,100,3.4259,34260,0,94
313,-54.0799,-48.446,100,2.68566,26857,0,65
240,5.14462,66.6592,100,2.10634,21064,0,65
262,35.7682,42.44,100,2.35865,23587,0,61
314,-50.5409,-5.81274,100,2.99683,29968,0,90
334,26.0129,35.9959,100,3.4624,34625,0,81
295,-6.753335,69.5425,-31.4036,100,0,0,0,0
263,-18.5636,-78.6917,100,2.60598,26060,0,73
241,-21.3028,-48.2739,100,2.41397,24140,0,70
336,-49.8763,-11.9461,100,0,0,0,0
374,79.4352,-51.3856,100,2.39191,23919,0,80
315,19.8122,-74.7198,100,4.24684,42467,0,96
396,42.775,3.58668,100,2.51555,25155,0,68
418,-29.2603,9.16033,100,2.27193,22720,0,82
354,20.3985,-24.1527,100,3.70996,37099,0,99
,62.5251,100,2.4847,24847,0,69
13,53.8874,34.1405,100,2.22386,22238,0,78
232,-16.0376,-35.7491,100,2.61131,26113,0,69
265,63.9032,-15.721,100,3.42409,34242,0,98
14,78.4814,18.7021,100,2.31477,23147,0,55
266,42.7229,-71.4414,100,0,0,0,0
59,-2.12477,-76.4173,100,3.00104,30011,0,78
215,4.00965,-47.1127,100,2.9123,29124,0,67
60,-76.9629,-53.3986,100,0,0,0,0
233,-10.9815,28.9079,100,2.70796,27081,0,70
86,-68.5875,-45.9043,100,2.1497,21496,48,62
15,65.4294,-45.0365,100,2.66741,26674,0,61
16,-67.8954,44.4711,100,0,0,0,0
87,-77.1547,-76.3975,100,2.61816,26181,0,64
286,64.4006,77.0702,100,0,0,0,0
234,-67.0332,-5.11958,100,2.83737,28375,0,73
235,-41.871,4.10208,100,0,0,0,0
216,-0.223008,-21.6738,100,4.85356,48536,0,117
17,-32.7062,2.78961,100,2.34163,23416,0,71
61,10.3349,-4.13632,100,2.45336,267,4,0,50
78.359,-23.7529,100,2.48255,24825,0,84
287,68.5945,-19.0969,100,2.60318190,,0,72
