freq_GHz,S11_dB,S21_dB
3.064499999999999780e+00,-2.524732609658131466e+01,-1.488185667653709521e+00
3.076750000000000096e+00,-2.499580985229615138e+01,-1.492383351703343131e+00
3.088999999999999968e+00,-2.470619362748845305e+01,-1.496577560023012898e+00
3.101249999999999840e+00,-2.438117237276043170e+01,-1.500768313267816012e+00
3.113500000000000156e+00,-2.402376848435900669e+01,-1.504955631889079992e+00
3.125750000000000028e+00,-2.363730384880052071e+01,-1.509139536137165116e+00
3.137999999999999901e+00,-2.322536911736709087e+01,-1.513320046064217772e+00
3.150250000000000217e+00,-2.279179049466895179e+01,-1.517497181526878514e+00
3.162500000000000089e+00,-2.234059434846126635e+01,-1.521670962188937049e+00
3.174749999999999961e+00,-2.187596996805588034e+01,-1.525841407523947257e+00
3.186999999999999833e+00,-2.140223081579303965e+01,-1.530008536817792253e+00
3.199250000000000149e+00,-2.092377462997635362e+01,-1.534172369171206807e+00
3.211500000000000021e+00,-2.044504274829797197e+01,-1.538332923502256255e+00
3.223749999999999893e+00,-1.997047902799082308e+01,-1.542490218548773662e+00
3.236000000000000210e+00,-1.950448874267461008e+01,-1.546644272870754566e+00
3.248250000000000082e+00,-1.905139783607817350e+01,-1.550795104852709105e+00
3.260499999999999954e+00,-1.861541290951969074e+01,-1.554942732705979047e+00
3.272749999999999826e+00,-1.820058231323957187e+01,-1.559087174471010862e+00
3.285000000000000142e+00,-1.781075870147041940e+01,-1.563228448019593042e+00
3.297250000000000014e+00,-1.744956339758993735e+01,-1.567366571057054792e+00
3.309499999999999886e+00,-1.712035289896045143e+01,-1.571501561124430069e+00
3.321750000000000203e+00,-1.682618783126749307e+01,-1.575633435600582111e+00
3.334000000000000075e+00,-1.656980463951334315e+01,-1.579762211704296204e+00
3.346249999999999947e+00,-1.635359027750900651e+01,-1.583887906496335818e+00
3.358499999999999819e+00,-1.617956012997338888e+01,-1.588010536881465651e+00
3.370750000000000135e+00,-1.604933937144869205e+01,-1.592130119610441152e+00
3.383000000000000007e+00,-1.596414793445209135e+01,-1.596246671281965845e+00
3.395249999999999879e+00,-1.592478922590044199e+01,-1.600360208344616009e+00
3.407500000000000195e+00,-1.593164269617515671e+01,-1.604470747098736716e+00
3.419750000000000068e+00,-1.598466032955945693e+01,-1.608578303698302348e+00
3.431999999999999940e+00,-1.608336708850959695e+01,-1.612682894152752899e+00
3.444249999999999812e+00,-1.622686530765084711e+01,-1.616784534328796319e+00
3.456500000000000128e+00,-1.641384299685612191e+01,-1.620883239952184196e+00
3.468750000000000000e+00,-1.664258597660809968e+01,-1.624979026609458810e+00
3.480999999999999872e+00,-1.691099373339925194e+01,-1.629071909749671976e+00
3.493250000000000188e+00,-1.721659884851573707e+01,-1.633161904686077470e+00
3.505500000000000060e+00,-1.755658982049916617e+01,-1.637249026597795698e+00
3.517749999999999932e+00,-1.792783707019044215e+01,-1.641333290531453271e+00
3.529999999999999805e+00,-1.832692188782305109e+01,-1.645414711402796826e+00
3.542250000000000121e+00,-1.875016805442022871e+01,-1.649493303998280425e+00
3.554499999999999993e+00,-1.919367584501506840e+01,-1.653569082976629856e+00
3.566749999999999865e+00,-1.965335809918151710e+01,-1.657642062870381405e+00
3.579000000000000181e+00,-2.012497802524308810e+01,-1.661712258087397975e+00
3.591250000000000053e+00,-2.060418838849048129e+01,-1.665779682912361448e+00
