freq_GHz,S11_dB
2.549199999999999910e+00,-1.318382539834061618e+00
2.551800000000000068e+00,-1.044179139025287029e+00
2.554399999999999782e+00,-7.740039000980640793e-01
2.556999999999999940e+00,-5.091757141141366461e-01
2.559600000000000097e+00,-2.510287470920875563e-01
2.562199999999999811e+00,-9.015386842552430835e-04
2.564799999999999969e+00,2.398743333170330061e-01
2.567400000000000126e+00,4.699858917875499031e-01
2.569999999999999840e+00,6.881505626284312171e-01
2.572599999999999998e+00,8.931279941042742365e-01
2.575200000000000156e+00,1.083731742092680861e+00
2.577799999999999869e+00,1.258840668129939999e+00
2.580400000000000027e+00,1.417409897652079920e+00
2.583000000000000185e+00,1.558481188958468877e+00
2.585599999999999898e+00,1.681192569165627759e+00
2.588200000000000056e+00,1.784787101714783830e+00
2.590800000000000214e+00,1.868620660736013406e+00
2.593399999999999928e+00,1.932168600588605401e+00
2.596000000000000085e+00,1.975031223974600181e+00
2.598599999999999799e+00,1.996937968897444904e+00
2.601199999999999957e+00,1.997750253106016061e+00
2.603800000000000114e+00,1.977462934188087829e+00
2.606399999999999828e+00,1.936204363791489413e+00
2.608999999999999986e+00,1.874235035173194674e+00
2.611600000000000144e+00,1.791944844013487526e+00
2.614199999999999857e+00,1.689849002791874000e+00
2.616800000000000015e+00,1.568582668619097120e+00
2.619400000000000173e+00,1.428894362889309377e+00
2.621999999999999886e+00,1.271638278117531939e+00
2.624600000000000044e+00,1.097765582553062558e+00
2.627200000000000202e+00,9.083148463430887887e-01
2.629799999999999915e+00,7.044017239418014498e-01
2.632400000000000073e+00,4.872080359488926149e-01
2.634999999999999787e+00,2.579703995010067530e-01
2.637599999999999945e+00,1.796855966941457439e-02
2.640200000000000102e+00,-2.314864249684385200e-01
2.642799999999999816e+00,-4.890639912679324297e-01
2.645399999999999974e+00,-7.534257279682954334e-01
2.648000000000000131e+00,-1.023236739289689723e+00
2.650599999999999845e+00,-1.297176584065027782e+00
2.653200000000000003e+00,-1.573949669440663612e+00
2.655800000000000161e+00,-1.852294990453531298e+00
2.658399999999999874e+00,-2.130995120406620202e+00
2.661000000000000032e+00,-2.408884371615488185e+00
2.663600000000000190e+00,-2.684856061472279620e+00
2.666199999999999903e+00,-2.957868834554746584e+00
2.668800000000000061e+00,-3.226952007385541776e+00
2.671400000000000219e+00,-3.491209918123502121e+00
2.673999999999999932e+00,-3.749825278663312389e+00
2.676600000000000090e+00,-4.002061541076827211e+00
2.679199999999999804e+00,-4.247264303819926923e+00
2.681799999999999962e+00,-4.484861795457140587e+00
2.684400000000000119e+00,-4.714364484660807264e+00
2.686999999999999833e+00,-4.935363874796806272e+00
2.689599999999999991e+00,-5.147530549426948099e+00
2.692200000000000149e+00,-5.350611541487140244e+00
2.694799999999999862e+00,-5.544427103724890671e+00
2.697400000000000020e+00,-5.728866961217153886e+00
2.700000000000000178e+00,-5.903886128489022056e+00
