freq_GHz,S11_dB,S21_dB,Z0_ohm
1.163999999999999924e+00,-2.123018842371475756e+01,-5.560797631913991790e-01,5.941145613217477006e+01
1.170333333333333226e+00,-2.083949188062917202e+01,-5.581959828068583374e-01,5.921038029386346579e+01
1.176666666666666528e+00,-2.040788625114357302e+01,-5.603087695732166251e-01,5.898264959012098529e+01
1.183000000000000052e+00,-1.994328818928726221e+01,-5.624181474915427303e-01,5.872970572712090842e+01
1.189333333333333353e+00,-1.945419399047789000e+01,-5.645241402676048903e-01,5.845315002924711933e+01
1.195666666666666433e+00,-1.894953032079112987e+01,-5.666267713170572984e-01,5.815473330150926046e+01
1.201999999999999957e+00,-1.843849738508321678e+01,-5.687260637705064958e-01,5.783634474563379513e+01
1.208333333333333259e+00,-1.793040728933228323e+01,-5.708220404784638546e-01,5.750000000000000711e+01
1.214666666666666561e+00,-1.743452043699824117e+01,-5.729147240161871490e-01,5.714782837913715241e+01
1.221000000000000085e+00,-1.695988283373970873e+01,-5.750041366884123262e-01,5.678205939356625720e+01
1.227333333333333165e+00,-1.651516715886904407e+01,-5.770903005339808045e-01,5.640500863532626141e+01
1.233666666666666467e+00,-1.610852039574749384e+01,-5.791732373303644099e-01,5.601906311853943521e+01
1.239999999999999991e+00,-1.574742069809042100e+01,-5.812529685980890592e-01,5.562666616782151863e+01
1.246333333333333293e+00,-1.543854600688683121e+01,-5.833295156050629648e-01,5.523030195020426447e+01
1.252666666666666595e+00,-1.518765672619150209e+01,-5.854028993708094708e-01,5.483247974849465578e+01
1.258999999999999897e+00,-1.499949451905007614e+01,-5.874731406706082959e-01,5.443571807563259313e+01
1.265333333333333199e+00,-1.487769900160262360e+01,-5.895402600395466264e-01,5.404252873061494711e+01
1.271666666666666501e+00,-1.482474379896070182e+01,-5.916042777764842775e-01,5.365540089692368753e+01
1.278000000000000025e+00,-1.484189308628691251e+01,-5.936652139479325907e-01,5.327678538412742171e+01
1.284333333333333327e+00,-1.492917937860323363e+01,-5.957230883918518405e-01,5.290907911241850314e+01
1.290666666666666407e+00,-1.508540295953720722e+01,-5.977779207213673729e-01,5.255460993831023586e+01
1.296999999999999931e+00,-1.530815295904234752e+01,-5.998297303284086945e-01,5.221562191755906923e+01
1.303333333333333233e+00,-1.559384970977982476e+01,-6.018785363872697358e-01,5.189426109860846026e+01
1.309666666666666535e+00,-1.593780763800586620e+01,-6.039243578580979488e-01,5.159256193649240174e+01
1.316000000000000059e+00,-1.633431758403958156e+01,-6.059672134903082430e-01,5.131243441320912524e+01
1.322333333333333361e+00,-1.677674710602978436e+01,-6.080071218259274213e-01,5.105565194610232993e+01
1.328666666666666440e+00,-1.725765700479205123e+01,-6.100441012028704479e-01,5.082384016079916478e+01
1.334999999999999964e+00,-1.776893202250019854e+01,-6.120781697581483272e-01,5.061846659978068175e+01
1.341333333333333266e+00,-1.830192341899775954e+01,-6.141093454310108113e-01,5.044083143173712358e+01
1.347666666666666568e+00,-1.884760092081752703e+01,-6.161376459660264926e-01,5.029205922052485533e+01
1.354000000000000092e+00,-1.939671137332925355e+01,-6.181630889160995013e-01,5.017309180583362860e+01
1.360333333333333172e+00,-1.993994130866823866e+01,-6.201856916454255852e-01,5.008468234063492730e+01
1.366666666666666474e+00,-2.046808057330265740e+01,-6.222054713323902364e-01,5.002739052315863688e+01
1.372999999999999998e+00,-2.097218414047944890e+01,-6.242224449724076418e-01,5.000157905358349808e+01
1.379333333333333300e+00,-2.144372926467917040e+01,-6.262366293807040130e-01,5.000741133787290238e+01
1.385666666666666602e+00,-2.187476521704605048e+01,-6.282480411950464028e-01,5.004485045329253268e+01
1.391999999999999904e+00,-2.225805297110316161e+01,-6.302566968784174550e-01,5.011365938215903526e+01
1.398333333333333206e+00,-2.258719238462569479e+01,-6.322626127216374181e-01,5.021340251233965546e+01
1.404666666666666508e+00,-2.285673464322469783e+01,-6.342658048459361986e-01,5.034344839500388957e+01
1.411000000000000032e+00,-2.306227799012827262e+01,-6.362662892054748998e-01,5.050297374216815172e+01
1.417333333333333334e+00,-2.320054506029194741e+01,-6.382640815898183995e-01,5.069096863872621839e+01
